c0,c1,c2
тошнить,xcomp,VERB
захрустели,nsubj,Nom_NOUN
я,nsubj,Nom_PRON
ты,iobj,Dat_PRON
девушка,nsubj,Nom_NOUN
а,cc,CCONJ
ребенок,obl,Nom_NOUN
рота,obl,Acc_NOUN
гадость,obj,Acc_NOUN
я,nsubj,Nom_PRON
тобуд,conj,Ins_NOUN
когда,advmod,ADV
ты,obl,Gen_PRON
живот,obj,Gen_NOUN
кто,nsubj,Nom_PRON
здесь,advmod,ADV
тобой,obl,Ins_NOUN
звоночки,nsubj,Nom_NOUN
время,obl,Acc_NOUN
квартира,obl,Dat_NOUN
слышались,conj,VERB
а,cc,CCONJ
отдалении,obl,Loc_NOUN
то,advmod,ADV
голос,nsubj,Nom_NOUN
телефон,obj,Acc_NOUN
зина,nsubj,Nom_NOUN
филипп,nsubj,Nom_PROPN
окурок,obj,Acc_NOUN
ведро,obl,Acc_NOUN
застегнул,conj,VERB
халат,obj,Acc_NOUN
расправил,parataxis,VERB
зеркальцем,obl,Ins_NOUN
стена,obl,Loc_NOUN
усы,obj,Acc_NOUN
пес,nsubj,Nom_PROPN
ноги,obl,Acc_NOUN
покачался,conj,VERB
подрожал,conj,VERB
и,cc,CCONJ
оправился,conj,VERB
но,cc,CCONJ
быстро,advmod,ADV
пойти,conj,VERB
и,cc,CCONJ
следом,iobj,Ins_NOUN
полой,obl,Ins_NOUN
опять,advmod,ADV
пес,nsubj,Nom_NOUN
коридор,obj,Acc_NOUN
увидеть,conj,VERB
но,cc,CCONJ
теперь,advmod,ADV
освещен,ccomp,Nom_VERB
открыться,advcl,VERB
когда,mark,SCONJ
дверь,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
филипп,obl,Nom_PROPN
кабинет,obl,Acc_NOUN
ослепил,conj,VERB
и,cc,CCONJ
тот,nsubj,Nom_DET
пса,obj,Gen_NOUN
убранством,iobj,Ins_NOUN
всё,obl,Gen_PRON
он,nsubj,Nom_PRON
весь,obj,Nom_DET
светом,iobj,Ins_NOUN
горело,conj,VERB
столе,obl,Loc_NOUN
в,conj,ADP
свет,nsubj,Nom_NOUN
бездно,obj,Acc_NOUN
который,obl,Gen_PRON
занятным,advmod,Ins_ADJ
сова,obj,Gen_NOUN
ложись,nsubj,Nom_PROPN
филипп,nsubj,Nom_PROPN
резнать,nsubj,Nom_NOUN
дверь,advmod,ADV
войти,conj,VERB
подать,appos,VERB
тяпнутый,nsubj,Nom_NOUN
молвил,conj,VERB
лист,nsubj,Nom_NOUN
и,cc,CCONJ
тотчас,advmod,ADV
бесшумно,advmod,ADV
село,conj,VERB
а,cc,CCONJ
филипп,nsubj,Nom_PROPN
стол,obl,Acc_NOUN
сделался,conj,VERB
попадать,ccomp,VERB
лечебница,nsubj,Nom_NOUN
куда,obl,ADV
место,obl,Acc_NOUN
я,nsubj,Nom_PRON
подумал,conj,VERB
смятении,obl,Loc_NOUN
пес,obj,Acc_NOUN
привалился,conj,VERB
и,cc,CCONJ
узор,obl,Acc_NOUN
дивана,obl,Gen_NOUN
сову,conj,Acc_NOUN
дверь,advmod,ADV
мягко,advmod,ADV
войти,conj,VERB
и,cc,CCONJ
некто,nsubj,Nom_PRON
пса,obj,Gen_NOUN
тявкнул,ccomp,Nom_NOUN
