c0,c1,c2
он,obj,Acc_PRON
смотровую,obl,Acc_ADJ
холодок,nsubj,Nom_NOUN
пса,obl,Gen_NOUN
сердцем,obl,Ins_NOUN
зачем,mark,SCONJ
я,nsubj,Nom_PRON
он,iobj,Dat_PRON
подумал,parataxis,VERB
зажил,parataxis,VERB
он,nsubj,Nom_PRON
подозрительно,advmod,ADV
бок,nsubj,Nom_PROPN
понимать,conj,VERB
ничто,obj,Acc_NOUN
не,advmod,PART
и,cc,CCONJ
он,nsubj,Nom_PRON
лапами,iobj,Ins_NOUN
паркету,obl,Dat_NOUN
привезен,conj,Nom_VERB
она,obl,Loc_PRON
сразу,advmod,ADV
освещение,obj,Acc_NOUN
шар,nsubj,Nom_NOUN
потолком,obl,Ins_NOUN
то,obl,Gen_PRON
резало,nsubj,Nom_NOUN
белый,obl,Loc_NOUN
сиянии,nsubj,Loc_NOUN
жрец,obj,Acc_NOUN
и,cc,CCONJ
зуб,obl,Acc_NOUN
священные,obl,Acc_NOUN
седина,nsubj,Nom_NOUN
колпаком,obl,Ins_NOUN
напоминающим,acl,Ins_VERB
быть,aux:pass,AUX
фартук,nsubj,Nom_NOUN
скуфейке,obl,Loc_NOUN
тяпнутый,conj,Nom_ADJ
а,cc,CCONJ
сбоку,advmod,ADV
четырехугольной,nsubj,Nom_ADJ
ноге,obl,Loc_NOUN
пес,nsubj,Nom_PROPN
больше,advmod,ADV
тяпнутот,obj,Gen_PRON
сегодняшние,nmod,Acc_NOUN
ныне,advmod,ADV
они,nsubj,Nom_PRON
сторона,obl,Acc_NOUN
глаз,obl,Gen_NOUN
пес,nsubj,Nom_PROPN
он,obl,Acc_PRON
тяжело,obj,Acc_NOUN
ушел,conj,VERB
угол,obl,Acc_NOUN
ошейник,nsubj,Nom_PROPN
негромко,advmod,ADV
филипп,nsubj,Nom_PROPN
зины,nsubj,Nom_PROPN
мгновенно,advmod,ADV
глаз,obj,Gen_NOUN
она,nsubj,Nom_PRON
псу,obl,Dat_NOUN
погладила,conj,VERB
и,cc,CCONJ
явно,advmod,ADV
фальшиво,obj,Acc_NOUN
его,obj,Acc_PRON
тот,nsubj,Nom_NOUN
она,obl,Acc_PRON
хоть,discourse,PART
я,nsubj,Nom_PRON
будете,ccomp,Loc_NOUN
зина,nsubj,Nom_NOUN
помотал,conj,VERB
ошейник,nsubj,Nom_NOUN
фыркнул,obj,Acc_NOUN
тяпнутый,nsubj,Nom_PROPN
они,obl,Ins_PRON
разлился,conj,VERB
и,cc,CCONJ
запах,obj,Acc_NOUN
он,obl,Acc_PRON
отчто,nsubj,Gen_PRON
попятился,conj,VERB
пес,nsubj,Nom_NOUN
и,cc,CCONJ
тяпнутот,obl,Gen_PRON
доктор,nsubj,Nom_NOUN
нетерпеливо,advmod,ADV
филипп,nsubj,Nom_PROPN
резко,advmod,ADV
и,cc,CCONJ
сладостно,advmod,ADV
воздух,obl,Loc_NOUN
тяпнутый,nsubj,Nom_PROPN
сводя,advcl,VERB
рука,obj,Acc_NOUN
ткнул,conj,VERB
и,cc,CCONJ
быстро,advmod,ADV
псу,obj,Acc_NOUN
нос,obl,Acc_NOUN
шарик,nsubj,Nom_PROPN
голова,obl,Loc_NOUN
он,obl,Gen_PRON
закружилось,conj,VERB
легонько,advmod,PART
успеть,conj,VERB
но,cc,CCONJ
он,nsubj,Nom_PRON
отпрянуть,xcomp,VERB
тяпнутый,nsubj,Nom_PROPN
он,obl,Ins_PRON
залепил,conj,VERB
и,cc,CCONJ
вдруг,advmod,ADV
морд,obj,Acc_NOUN
ватой,amod,Gen_ADJ
тотчас,advmod,ADV
дыхание,nsubj,Nom_NOUN
успеть,conj,VERB
но,cc,CCONJ
раз,advmod,Acc_NOUN
пес,nsubj,Nom_NOUN
вырваться,xcomp,VERB
злодей,nsubj,Nom_PROPN
голова,obl,Loc_NOUN
что,obl,Acc_PRON
и,cc:preconj,CCONJ
еще,advmod,ADV
раз,advmod,Acc_NOUN
представилось,obl,VERB
неожиданно,advmod,ADV
посреди,case,ADP
смотровой,amod,Acc_ADJ
озеро,obj,Acc_NOUN
а,cc,CCONJ
ноги,nsubj,Nom_NOUN
костей,obj,Gen_NOUN
согнулись,conj,VERB
и,cc,CCONJ
стол,obl,Acc_NOUN
голосом,advmod,Ins_NOUN
слово,obj,Gen_NOUN
и,cc,CCONJ
струях,obl,Loc_NOUN
ужас,nsubj,Nom_NOUN
сменился,conj,VERB
радостью,advmod,Ins_NOUN
секунды,nsubj,Nom_NOUN
затем,advmod,ADV
мир,nsubj,Nom_NOUN
кверху,iobj,Dat_NOUN
почувствована,conj,Nom_VERB
столе,obl,Loc_NOUN
раскинувшись,advcl,VERB
пес,nsubj,Nom_NOUN
колотилась,conj,VERB
и,cc,CCONJ
голова,nsubj,Nom_NOUN
беспомощно,advmod,ADV
подушку,obl,Acc_NOUN
доктор,nsubj,Nom_NOUN
тяжело,nsubj,Nom_NOUN
шерсть,obl,Acc_NOUN
стриг,conj,VERB
голова,obj,Acc_NOUN
филипп,nsubj,Nom_PROPN
опершись,advcl,VERB
глазками,obj,Ins_NOUN
процедурой,obl,Ins_NOUN
говорить,conj,VERB
и,cc,CCONJ
взволнованно,advmod,ADV
если,mark,SCONJ
там,advmod,ADV
я,obl,Gen_PRON
кровить,xcomp,VERB
он,obl,Gen_PRON
он,nsubj,Nom_PRON
заглянул,conj,VERB
прищуря,advcl,VERB
насмешливо,obl,Acc_NOUN
глаз,obl,Acc_NOUN
добавил,conj,VERB
и,cc,CCONJ
а,cc,CCONJ
знаете,advmod,ADV
руки,nsubj,Nom_PROPN
он,nsubj,Nom_PRON
время,obl,Acc_NOUN
будто,nsubj,Nom_PRON
подвиг,obl,Acc_NOUN
он,nsubj,Nom_PRON
село,obl,Gen_NOUN
шерсти,advmod,ADV
кожа,nsubj,Nom_NOUN
борменталь,nsubj,Nom_PROPN
машинку,obj,Acc_NOUN
вооружился,conj,VERB
и,cc,CCONJ
бритвой,advmod,Ins_NOUN
он,nsubj,Nom_PRON
голова,obj,Acc_NOUN
начать,conj,VERB
и,cc,CCONJ
брить,xcomp,VERB
сильно,advmod,ADV
лезвием,obl,Ins_NOUN
выступить,acl:relcl,VERB
кое,nsubj,Nom_ADJ
где,advmod,ADV
кровь,obj,Acc_NOUN
зина,nsubj,Nom_NOUN
крана,obj,Acc_NOUN
раковиной,obl,Ins_NOUN
бросился,conj,VERB
и,cc,CCONJ
борменталь,nsubj,Nom_PROPN
мыть,xcomp,VERB
зина,nsubj,Nom_NOUN
спиртом,iobj,Ins_NOUN
она,nsubj,Nom_PRON
зина,nsubj,Nom_NOUN
борменталь,nsubj,Nom_PROPN
далеко,advmod,ADV
салфеточками,iobj,Ins_NOUN
он,nsubj,Nom_PRON
голова,obj,Acc_NOUN
оказаться,conj,VERB
и,cc,CCONJ
тогда,advmod,ADV
подушке,obl,Loc_NOUN
тоник,iobj,Ins_PRON
череп,nsubj,Nom_NOUN
тут,advmod,ADV
жрец,obj,Acc_NOUN
он,nsubj,Nom_PRON
сказать,conj,VERB
глянул,conj,VERB
собачью,obl,Acc_NOUN
голова,obj,Acc_NOUN
и,cc,CCONJ
борменталь,nsubj,Nom_PROPN
ножик,obj,Nom_NOUN
подать,conj,VERB
и,cc,CCONJ
жрецу,obj,Acc_NOUN
затем,advmod,ADV
он,nsubj,Nom_PRON
перчатки,obl,Nom_NOUN
спит,nsubj,Nom_PROPN
филипп,nsubj,Nom_PROPN
хорошо,advmod,ADV
зуб,nsubj,Nom_NOUN
приобрели,parataxis,VERB
глазки,nsubj,Nom_NOUN
блеск,obj,Acc_NOUN
протянул,conj,VERB
и,cc,CCONJ
взмахнув,advcl,VERB
он,nsubj,Nom_PRON
метко,advmod,ADV
и,cc,CCONJ
длинно,advmod,ADV
животу,obl,Dat_NOUN
рану,iobj,Dat_PROPN
кожа,nsubj,Nom_PROPN
тотчас,advmod,ADV
брызнул,conj,VERB
и,cc,CCONJ
она,obl,Acc_PRON
кровь,obj,Acc_NOUN
сторона,obl,Acc_NOUN
борменталь,nsubj,Nom_PROPN
хищно,advmod,ADV
комьями,conj,Ins_NOUN
щипчиками,obl,Ins_NOUN
край,obj,Gen_NOUN
высохла,conj,VERB
и,cc,CCONJ
она,nsubj,Nom_PRON
лбу,obl,Dat_NOUN
борменталя,nsubj,Nom_PROPN
пот,obj,Acc_NOUN
филипп,nsubj,Nom_PROPN
раз,obj,Acc_NOUN
начать,conj,VERB
и,cc,CCONJ
тело,obj,Acc_NOUN
вдвой,advmod,ADV
разрывать,xcomp,VERB
филипп,nsubj,Nom_PROPN
нож,iobj,Ins_NOUN
тело,obl,Loc_NOUN
крикнул,nsubj,Nom_NOUN
инструмент,nsubj,Nom_NOUN
глазах,obl,Loc_NOUN
тяпнутот,obl,Gen_PRON
фокусника,obl,Gen_NOUN
филипп,nsubj,Nom_PROPN
глубину,obl,Acc_NOUN
вырвал,conj,VERB
и,cc,CCONJ
поворотов,obl,Gen_NOUN
железа,obj,Acc_NOUN
борменталь,nsubj,Nom_PROPN
банке,obl,Dat_NOUN
она,obl,Gen_PRON
железа,nsubj,Nom_NOUN
рука,obl,Loc_NOUN
профессор,obl,Gen_NOUN
завились,conj,VERB
струна,nsubj,Nom_NOUN
дробно,advmod,ADV
игла,nsubj,Nom_NOUN
зажимах,obl,Loc_NOUN
вшили,parataxis,VERB
железа,nsubj,Nom_NOUN
место,obl,Acc_NOUN
жрец,nsubj,Nom_NOUN
раны,obl,Gen_NOUN
ткнул,conj,VERB
нее,obl,Acc_PRON
комком,obj,Ins_NOUN
скомандовал,conj,VERB
и,cc,CCONJ
затем,advmod,ADV
часы,obl,Acc_NOUN
минута,nsubj,Gen_NOUN
пропустить,parataxis,VERB
зуб,obl,Acc_NOUN
борменталь,nsubj,Nom_PROPN
впился,parataxis,VERB
кожу,obl,Acc_NOUN
затем,advmod,ADV
оба,nsubj,Nom_NUM
убийцы,advcl,Nom_NOUN
нож,nsubj,Nom_PROPN
филипп,nsubj,Nom_PROPN
нож,nsubj,Nom_PROPN
он,iobj,Dat_PRON
руки,obl,Acc_NOUN
себя,iobj,Ins_PRON
страшным,conj,Ins_ADJ
он,nsubj,Nom_PRON
коронки,obj,Acc_NOUN
навел,parataxis,VERB
лбу,obl,Acc_NOUN
венец,nsubj,Nom_NOUN
кожу,nsubj,Nom_PROPN
волос,obl,Ins_NOUN
скальп,obl,Acc_NOUN
обнажили,parataxis,VERB
череп,nsubj,Nom_NOUN
филипп,nsubj,Nom_PROPN
борменталь,nsubj,Nom_PROPN
он,iobj,Dat_PRON
ворота,obj,Gen_NOUN
кусая,advcl,VERB
филипп,nsubj,Nom_PROPN
втыкать,xcomp,VERB
высверливать,conj,VERB
идти,advcl,VERB
так,mark,SCONJ
что,mark,SCONJ
они,nsubj,Nom_PRON
круг,iobj,Ins_NOUN
он,nsubj,Nom_PRON
секунда,obl,Gen_NOUN
потом,obj,Ins_NOUN
пилить,xcomp,VERB
выпиливают,advcl,VERB
как,advmod,ADV
ящик,nsubj,Nom_NOUN
череп,nsubj,Nom_PROPN
тихо,advmod,ADV
трясся,conj,VERB
и,cc,CCONJ
минута,nsubj,Nom_NOUN
крышку,obl,Acc_NOUN
тогда,advmod,ADV
купол,obj,Acc_NOUN
филипп,nsubj,Nom_PROPN
ножницами,iobj,Ins_NOUN
оболочка,obl,Gen_NOUN
выкроил,conj,VERB
и,cc,CCONJ
их,det,DET
раз,advmod,Acc_NOUN
фонтан,nsubj,Nom_NOUN
попадать,conj,VERB
чуть,advmod,ADV
не,advmod,PART
глаз,obl,Gen_NOUN
профессору,iobj,Dat_NOUN
окропил,conj,VERB
и,cc,CCONJ
каколп,obj,Acc_NOUN
борменталь,nsubj,Nom_NOUN
зажимать,xcomp,VERB
зажал,conj,VERB
и,cc,CCONJ
пот,nsubj,Nom_NOUN
потеками,iobj,Ins_NOUN
стать,conj,VERB
и,cc,CCONJ
лицо,advmod,ADV
он,obj,Acc_PRON
мясистым,advmod,Ins_ADJ
глаз,nsubj,Gen_PROPN
рука,obl,Acc_NOUN
тарелке,obl,Dat_NOUN
сипение,nsubj,Nom_NOUN
нос,obl,Gen_NOUN
открылись,advcl,VERB
зуб,mark,SCONJ
десен,obl,Gen_NOUN
он,nsubj,Nom_PRON
оболочку,obj,Acc_NOUN
пойти,conj,VERB
и,cc,CCONJ
вглубь,xcomp,VERB
и,cc:preconj,CCONJ
время,obl,Acc_NOUN
борменталь,nsubj,Nom_PROPN
бледнеть,xcomp,VERB
схватить,parataxis,VERB
рука,iobj,Ins_NOUN
грыть,obj,Acc_NOUN
хрипловато,conj,ADP
пульс,nsubj,Nom_PROPN
резко,advmod,ADV
филипп,nsubj,Nom_PROPN
он,obl,Acc_PRON
промычал,ccomp,VERB
что,mark,SCONJ
врезался,conj,VERB
и,cc,CCONJ
еще,advmod,ADV
глубже,advmod,ADV
борменталь,nsubj,Nom_NOUN
ампулку,obj,Acc_NOUN
насосал,acl:relcl,VERB
она,obl,Acc_PRON
шприц,obl,Gen_NOUN
кольнул,conj,VERB
и,cc,CCONJ
коварно,advmod,ADV
шарика,nsubj,Nom_PROPN
иду,obl,Dat_PROPN
выдвинуть,parataxis,VERB
филипп,nsubj,Nom_PROPN
перчатками,iobj,Ins_NOUN
мозг,obj,Acc_NOUN
мгновение,obl,Acc_NOUN
он,nsubj,Nom_PRON
сломал,parataxis,VERB
глаз,nsubj,Nom_NOUN
и,cc,CCONJ
борменталь,nsubj,Nom_PROPN
тотчас,advmod,ADV
ампулу,obj,Acc_NOUN
жидкость,obl,Ins_NOUN
вытянул,conj,VERB
и,cc,CCONJ
она,obj,Acc_PRON
шприц,obl,Nom_NOUN
сердце,obl,Loc_NOUN
робко,advmod,ADV
он,nsubj,Nom_PRON
злобно,advmod,ADV
профессор,obj,Acc_NOUN
умереть,parataxis,VERB
равный,nsubj,VERB
вы,obl,Acc_PRON
разве,nsubj,Nom_PROPN
он,obl,Gen_PRON
это,obl,Loc_PRON
разбойник,obl,Gen_NOUN
доктор,nsubj,Nom_NOUN
легко,advmod,ADV
иглу,obj,Acc_NOUN
сердце,obl,Acc_NOUN
живет,nsubj,Nom_PROPN
робко,advmod,ADV
он,nsubj,Nom_PRON
рассуждать,xcomp,VERB
живет,nsubj,Nom_NOUN
не,advmod,PART
засипел,parataxis,VERB
филипп,nsubj,Nom_PROPN
борменталь,nsubj,Nom_PROPN
он,iobj,Dat_PRON
склянку,obj,Acc_NOUN
который,obl,Loc_PRON
нитке,obl,Loc_NOUN
жидкость,obl,Loc_NOUN
комочек,obj,Acc_NOUN
не,advmod,PART
равных,obj,Acc_NOUN
европа,obl,Loc_PROPN
смутно,advmod,ADV
борменталь,nsubj,Nom_PROPN
он,nsubj,Nom_PRON
комочек,obj,Acc_NOUN
ножницами,conj,Ins_NOUN
шариков,nsubj,Nom_PROPN
комочек,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
тарелку,obl,Acc_NOUN
заложил,conj,VERB
а,cc,CCONJ
новый,nsubj,Nom_ADJ
мозг,obl,Acc_NOUN
вместе,advmod,ADV
ставшими,acl,Ins_VERB
ухватился,conj,VERB
нитью,iobj,Ins_NOUN
замотать,xcomp,VERB
это,obl,Gen_PRON
он,nsubj,Nom_PRON
голова,obl,Acc_NOUN
упрятал,parataxis,VERB
мозг,nsubj,Nom_NOUN
назад,advmod,ADV
чашу,obl,Acc_NOUN
откинулся,conj,VERB
и,cc,CCONJ
спросить,parataxis,VERB
поспокойнее,advmod,ADV
пульс,nsubj,Nom_NOUN
борменталь,nsubj,Nom_PROPN
профессор,nsubj,Nom_NOUN
оболочками,iobj,Ins_NOUN
приложил,conj,VERB
мозг,obj,Acc_NOUN
мерке,nmod,Dat_NOUN
взревел,conj,VERB
скальп,nsubj,Nom_NOUN
и,cc,CCONJ
борменталь,nsubj,Nom_NOUN
пять,obl,Acc_NUM
голова,obj,Acc_NOUN
сломав,advcl,VERB
и,cc:preconj,CCONJ
подушке,obl,Loc_NOUN
кровью,obl,Loc_NOUN
же,discourse,PART
филипп,nsubj,Nom_PROPN
отвалился,parataxis,VERB
окончательно,advmod,ADV
вампир,obl,Nom_NOUN
сорвал,conj,VERB
перчатку,obj,Acc_NOUN
выбросив,advcl,VERB
облако,cc,CCONJ
пудры,nmod,Gen_NOUN
пол,obl,Acc_NOUN
позвонил,conj,VERB
и,cc,CCONJ
нажав,advcl,VERB
зина,nsubj,Nom_NOUN
пороге,obl,Loc_NOUN
отвернувшись,advcl,VERB
жрец,nsubj,Nom_NOUN
руками,iobj,Ins_NOUN
он,nsubj,Nom_PRON
подбородком,advmod,ADV
раздвинул,parataxis,VERB
край,obl,Acc_NOUN
пса,nsubj,Nom_NOUN
заглянул,conj,VERB
глаз,obl,Acc_NOUN
молвил,conj,VERB
и,cc,CCONJ
ну,nsubj,Nom_PROPN
весь,nsubj,Nom_PRON
равный,advmod,ADV
машина,nsubj,Nom_PROPN
горбоносый,nsubj,Nom_PROPN
назад,advmod,ADV
заговорить,conj,VERB
и,cc,CCONJ
оживлённо,advmod,ADV
то,obl,Loc_PRON
ехать,ccomp,VERB
бородатый,nsubj,Nom_PROPN
невнятно,advmod,ADV
хлопал,conj,VERB
и,cc,CCONJ
весь,advmod,ADV
хлопал,conj,VERB
и,cc,CCONJ
дверцей,iobj,Ins_NOUN
плащ,nsubj,Nom_PROPN
посоветовать,parataxis,VERB
я,nsubj,Nom_PRON
глядя,advcl,VERB
защемляется,ccomp,VERB
вы,obl,Acc_PRON
плащ,nsubj,Gen_NOUN
устроилось,obl,VERB
через,case,ADP
пять,advmod,Acc_NUM
весь,obj,Acc_PRON
наконец,advmod,ADV
я,nsubj,Nom_PRON
ответил,parataxis,VERB
до,nsubj,Nom_PROPN
километр,obl,Gen_NOUN
десять,nsubj,Acc_NUM
больше,advmod,ADV
я,nsubj,Nom_PRON
говорить,conj,VERB
обещали,parataxis,VERB
я,iobj,Dat_PRON
проеду,ccomp,Acc_NOUN
можно,xcomp,VERB
проехать,xcomp,VERB
пожалуй,conj,Nom_ADJ
но,cc,CCONJ
коробца,nsubj,Nom_PROPN
год,obl,Loc_NOUN
лето,nsubj,Nom_NOUN
весь,advmod,ADV
дожди,conj,Nom_NOUN
заметить,parataxis,VERB
бородатый,nsubj,Nom_NOUN
сиденье,obl,Loc_NOUN
кто,nsubj,Nom_PRON
это,nsubj,Nom_PRON
спросить,parataxis,VERB
горбоносый,amod,Nom_ADJ
мерлин,nsubj,Nom_PROPN
они,nsubj,Nom_PRON
почто,mark,SCONJ
я,nsubj,Nom_PRON
сигареты,obj,Acc_NOUN
закурил,conj,VERB
предложить,conj,VERB
и,cc,CCONJ
они,iobj,Dat_PRON
угощаться,xcomp,VERB
фабрика,nsubj,Nom_PROPN
горбоносый,amod,Nom_ADJ
разглядывая,advcl,VERB
вы,nsubj,Nom_PROPN
ленинград,obl,Gen_PROPN
да,obj,Acc_PROPN
сказать,parataxis,VERB
я,nsubj,Nom_PRON
сказать,conj,VERB
а,cc,CCONJ
здешние,nsubj,Nom_ADJ
горбоносый,amod,Nom_ADJ
бородатый,nsubj,Nom_NOUN
что,mark,SCONJ
соловец,nsubj,Nom_PROPN
что,mark,SCONJ
мурманск,nsubj,Nom_PROPN
один,parataxis,Nom_NUM
север,nsubj,Nom_NOUN
горбоносый,amod,Nom_ADJ
сказать,advcl,VERB
почему,mark,SCONJ
вежливо,obj,Acc_NOUN
соловце,obl,Loc_PROPN
будете,nmod,Loc_NOUN
спросить,parataxis,VERB
горбоносый,nsubj,Nom_NOUN
конечно,discourse,ADV
я,nsubj,Nom_PRON
я,nsubj,Nom_PRON
ребят,obj,Acc_NOUN
они,nsubj,Nom_PRON
берегом,iobj,Ins_NOUN
рандеву,conj,Acc_NOUN
я,nsubj,Nom_PRON
россыпь,obj,Acc_NOUN
притормозил,conj,VERB
сказать,conj,VERB
и,cc,CCONJ
держитесь,ccomp,VERB
крепче,nsubj,Nom_NOUN
машина,nsubj,Nom_PROPN
запрыгала,conj,VERB
и,cc,CCONJ
горбоносый,nsubj,Nom_PROPN
нос,obj,Acc_NOUN
мотор,nsubj,Nom_PROPN
камень,conj,Nom_NOUN
машина,nsubj,Nom_NOUN
горбоносый,amod,Nom_ADJ
что,nsubj,Nom_PRON
я,nsubj,Nom_PRON
всякий,amod,Nom_ADJ
дорога,obl,Dat_NOUN
поехал,parataxis,VERB
й,nsubj,Nom_PRON
бы,discourse,PART
сказать,parataxis,VERB
я,nsubj,Nom_PRON
россыпь,nsubj,Nom_NOUN
этот,nsubj,Nom_PRON
показалось,parataxis,VERB
сказать,nsubj,Nom_NOUN
я,obl,Dat_PRON
разочарованно,advmod,ADV
я,nsubj,Nom_PRON
себя,obj,Acc_PRON
задетым,advmod,Ins_ADJ
где,advmod,ADV
ничто,obj,Acc_NOUN
интересно,conj,VERB
глупо,nsubj,Nom_PROPN
моему,obl,Acc_NOUN
я,nsubj,Nom_PRON
глупо,nsubj,Nom_PROPN
думают,conj,VERB
бородатый,nsubj,Nom_NOUN
но,cc,CCONJ
весь,nsubj,Nom_DET
так,mark,SCONJ
мы,nsubj,Nom_PRON
машина,obl,Loc_NOUN
прийти,conj,VERB
и,cc,CCONJ
вывод,obl,Dat_NOUN
покупать,ccomp,VERB
но,cc,CCONJ
они,obl,DET
не,advmod,PART
потом,iobj,Ins_NOUN
горбоносый,amod,Nom_ADJ
работаете,parataxis,VERB
а,cc:preconj,CCONJ
где,advmod,ADV
вы,nsubj,Nom_PRON
я,nsubj,Nom_PRON
колоссально,advmod,ADV
программист,nsubj,Nom_NOUN
бросайт,acl,VERB
и,cc,CCONJ
мы,obl,Dat_PRON
поворачиваясь,iobj,AUX
алдан,nsubj,Nom_PROPN
бородатый,nsubj,Nom_NOUN
машина,nsubj,Nom_NOUN
я,nsubj,Nom_PRON
работать,conj,VERB
и,cc,CCONJ
хорошо,advmod,ADV
сказать,ccomp,VERB
да,discourse,PART
сказать,xcomp,VERB
понятно,nsubj,Nom_PROPN
я,nsubj,Nom_PRON
собственно,advmod,ADV
она,obj,Acc_PRON
еще,advmod,ADV
не,advmod,PART
сказать,parataxis,VERB
бородатый,nsubj,Nom_NOUN
оставайтесь,acl,VERB
добавил,conj,VERB
а,cc,CCONJ
мы,nsubj,Nom_PRON
вы,obl,Dat_PRON
счёта,nsubj,Gen_NOUN
горбоносый,amod,Nom_ADJ
а,cc:preconj,CCONJ
вы,nsubj,Nom_PRON
спросить,conj,VERB
я,nsubj,Nom_PRON
как,nsubj,Nom_PROPN
понятно,nsubj,Nom_PROPN
сказать,parataxis,VERB
я,nsubj,Nom_PRON
сказать,parataxis,VERB
что,nsubj,Nom_PRON
космосом,obl,Ins_NOUN
и,cc,CCONJ
горбоносый,amod,Nom_ADJ
добра,obl,Gen_NOUN
не,advmod,PART
сказать,parataxis,VERB
я,nsubj,Nom_PRON
город,nsubj,Nom_NOUN
бородатый,xcomp,Nom_VERB
услышал,conj,VERB
но,cc,CCONJ
я,nsubj,Nom_PRON
я,nsubj,Nom_PRON
надо,conj,VERB
я,nsubj,Nom_PRON
сказать,conj,VERB
бородатый,nsubj,Nom_NOUN
это,cop,AUX
он,nsubj,Nom_PRON
так,advmod,ADV
сказать,parataxis,VERB
горбоносый,xcomp,Nom_VERB
интереснее,conj,ADJ
горбоносый,nsubj,Nom_PROPN
мы,nsubj,Nom_PRON
еще,advmod,ADV
тема,obl,Acc_NOUN
сказать,parataxis,VERB
пробудете,ccomp,VERB
максимум,nsubj,Nom_NOUN
вот,nsubj,Nom_DET
день,obl,Acc_NOUN
и,cc,CCONJ
бородатый,nsubj,Nom_PROPN
идти,parataxis,VERB
вижу,obj,Acc_NOUN
лес,obl,Dat_NOUN
я,advmod,ADV
обречены,ccomp,Nom_VERB
программист,nsubj,Nom_NOUN
я,nsubj,Nom_PRON
нам,nsubj,Nom_PROPN
нужен,parataxis,Nom_ADJ
й,nsubj,Nom_PRON
ребятами,obl,Ins_NOUN
пообещал,parataxis,VERB
я,nsubj,Nom_PRON
знаю,parataxis,VERB
й,nsubj,Nom_PRON
недовольных,amod,Acc_ADJ
нужен,parataxis,Nom_VERB
избаловались,advcl,VERB
да,nsubj,Nom_PROPN
я,nsubj,Nom_PRON
горбоносый,nsubj,Nom_PROPN
загибать,xcomp,VERB
или,parataxis,VERB
нужен,parataxis,Nom_VERB
программист,nsubj,Nom_NOUN
а,advmod,ADV
доброволец,nsubj,Nom_NOUN
цэ,nsubj,Nom_PROPN
согласился,xcomp,VERB
жить,xcomp,VERB
общежитии,obl,Loc_NOUN
дэ,nsubj,Nom_PROPN
подхватил,conj,VERB
бородатый,nsubj,Nom_NOUN
рубль,obl,Dat_NOUN
а,cc:preconj,CCONJ
насчет,obl,Acc_NOUN
спросить,parataxis,VERB
я,nsubj,Nom_PRON
скажем,advmod,ADV
сияния,nsubj,Nom_NOUN
горбоносый,amod,Nom_ADJ
лес,nsubj,Nom_PROPN
переехали,parataxis,VERB
мы,nsubj,Nom_PRON
мост,obl,Acc_NOUN
покатили,conj,VERB
и,cc,CCONJ
полями,obl,Ins_NOUN
час,obj,Gen_NOUN
горбоносый,xcomp,Nom_VERB
ночевать,xcomp,VERB
магазины,nsubj,Nom_NOUN
закрыты,conj,Nom_VERB
горбоносый,amod,Nom_ADJ
бородатый,xcomp,Nom_VERB
сказать,acl:relcl,VERB
я,obl,Gen_PRON
комната,obl,Loc_NOUN
задумчиво,obj,Acc_NOUN
да,nsubj,Nom_PROPN
бородатый,obj,Acc_ADJ
засмеялся,conj,VERB
и,cc,CCONJ
почто,mark,SCONJ
горбоносый,nsubj,Nom_ADJ
ерунда,nsubj,Nom_NOUN
бородатый,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
общежитие,obl,Acc_NOUN
то,advmod,ADV
сказать,conj,VERB
д,advmod,ADV
мочь,parataxis,VERB
диван,parataxis,Nom_VERB
да,discourse,PART
вы,nsubj,Nom_PRON
не,advmod,PART
сказать,parataxis,VERB
я,nsubj,Nom_PRON
раз,obj,Acc_NOUN
я,iobj,Dat_PRON
вдруг,advmod,ADV
страшно,advmod,ADV
поспать,xcomp,VERB
ночь,nsubj,Gen_NOUN
мешке,obl,Loc_NOUN
горбоносый,nsubj,Nom_NOUN
правильно,advmod,ADV
бородатый,nsubj,Nom_NOUN
лукоморье,obl,Loc_PROPN
его,obj,DET
я,nsubj,Nom_PRON
вы,nsubj,Nom_PRON
дом,obl,Loc_NOUN
горбоносый,amod,Nom_ADJ
чистом,obl,Ins_NOUN
белье,obj,Acc_NOUN
не,advmod,PART
же,discourse,PART
совать,xcomp,VERB
сказать,parataxis,VERB
бородатый,nsubj,Nom_NOUN
мы,nsubj,Nom_PRON
город,obl,Acc_NOUN
заборы,nsubj,Nom_NOUN
анокми,obl,Ins_NOUN
наличниками,obl,Ins_NOUN
строений,obl,Gen_NOUN
вид,nsubj,Nom_NOUN
я,obl,Gen_PRON
слово,obl,Acc_NOUN
и,cc,CCONJ
проспект,iobj,Ins_NOUN
впереди,nsubj,Nom_PROPN
близко,advmod,ADV
дом,nsubj,Nom_NOUN
переулок,nsubj,Nom_NOUN
направо,advmod,ADV
горбоносый,amod,Nom_ADJ
я,nsubj,Nom_PRON
притормозил,parataxis,VERB
указатель,nsubj,Nom_NOUN
свернул,conj,VERB
и,cc,CCONJ
направо,obj,Acc_NOUN
дорога,nsubj,Nom_PROPN
здесь,advmod,ADV
травой,iobj,Ins_NOUN
приткнувшись,advcl,VERB
номер,nsubj,Nom_NOUN
воротами,obl,Ins_NOUN
заметный,conj,Nom_ADJ
переулок,nsubj,Nom_NOUN
изящно,advmod,ADV
ул,list,Nom_PROPN
когда,advmod,ADV
здесь,advmod,ADV
